"lon","lat","annual_mean_temp","annual_pp"
-79.66203915,46.91781395,3.1,0.887
-79.66203915,47.00115165,3,0.879
-79.66203915,47.08448935,2.8,0.876
-79.66203915,47.16782705,2.6,0.874
-79.66203915,47.25116475,2.6,0.865
-79.66203915,47.33450245,2.7,0.847
-79.66203915,47.41784015,3.1,0.817
-79.66203915,47.50117785,2.9,0.817
-79.66203915,47.58451555,2.9,0.808
-79.66203915,47.66785325,2.8,0.804
-79.66203915,47.75119095,2.5,0.809
-79.66203915,47.83452865,2.3,0.817
-79.66203915,47.91786635,2,0.826
-79.66203915,48.00120405,1.8,0.83
-79.66203915,48.08454175,1.7,0.833
-79.66203915,48.16787945,1.5,0.838
-79.66203915,48.25121715,1.3,0.846
-79.66203915,48.33455485,1.4,0.84
-79.66203915,48.41789255,1.3,0.838
-79.66203915,48.50123025,1.2,0.84
-79.66203915,48.58456795,1.2,0.835
-79.66203915,48.66790565,1.1,0.834
-79.66203915,48.75124335,1,0.834
-79.66203915,48.83458105,0.9,0.836
-79.66203915,48.91791875,0.7,0.839
-79.66203915,49.00125645,0.6,0.839
-79.66203915,49.08459415,0.5,0.836
-79.66203915,49.16793185,0.4,0.835
-79.66203915,49.25126955,0.4,0.831
-79.66203915,49.33460725,0.3,0.828
-79.66203915,49.41794495,0.3,0.822
-79.66203915,49.50128265,0.2,0.822
-79.66203915,49.58462035,0,0.823
-79.66203915,49.66795805,0,0.822
-79.66203915,49.75129575,0,0.815
-79.66203915,49.83463345,0,0.811
-79.66203915,49.91797115,-0.1,0.808
-79.66203915,50.00130885,-0.2,0.807
-79.66203915,50.08464655,-0.4,0.807
-79.66203915,50.16798425,-0.4,0.802
-79.66203915,50.25132195,-0.5,0.8
-79.66203915,50.33465965,-0.5,0.795
-79.66203915,50.41799735,-0.5,0.787
-79.66203915,50.50133505,-0.4,0.777
-79.66203915,50.58467275,-0.2,0.765
-79.66203915,50.66801045,-0.1,0.751
-79.66203915,50.75134815,0,0.742
-79.66203915,50.83468585,0,0.738
-79.66203915,50.91802355,-0.1,0.734
-79.66203915,51.00136125,-0.1,0.732
-79.66203915,51.08469895,-0.2,0.729
-79.66203915,51.16803665,-0.3,0.726
-79.66203915,51.25137435,-0.4,0.724
-79.66203915,51.33471205,-0.4,0.721
-79.66203915,51.41804975,-0.5,0.718
-79.66203915,51.83473825,-0.9,0.701
-79.66203915,51.91807595,-1,0.697
-79.66203915,52.00141365,-1.1,0.694
-79.66203915,52.50143985,-1.5,0.673
-79.66203915,53.25147915,-2.2,0.643
-79.66203915,54.50154465,-3.3,0.603
-79.66203915,54.58488235,-3.4,0.602
-79.66203915,54.66822005,-3.5,0.6
-79.66203915,54.75155775,-3.5,0.597
-79.66203915,54.83489545,-3.6,0.594
-79.66203915,55.83494785,-4.4,0.556
-79.66203915,55.91828555,-4.5,0.553
-79.66203915,56.00162325,-4.6,0.551
-79.66203915,56.08496095,-4.7,0.548
-79.66203915,56.16829865,-4.8,0.544
-79.66203915,56.25163635,-4.8,0.537
-79.66203915,56.33497405,-4.9,0.534
-79.66203915,56.41831175,-4.9,0.53
-79.66203915,56.58498715,-5,0.522
-79.66203915,56.75166255,-5.1,0.514
-79.66203915,56.83500025,-5.2,0.51
-79.66203915,57.83505265,-6,0.466
-79.66203915,61.66858685,-8.4,0.353
-79.66203915,61.75192455,-8.6,0.354
-79.66203915,61.83526225,-8.7,0.354
-79.66203915,61.91859995,-8.7,0.35
-79.66203915,62.00193765,-8.9,0.354
-79.66203915,62.08527535,-9,0.354
-79.66203915,62.16861305,-9.1,0.352
-79.66203915,62.25195075,-9.1,0.348
-79.66203915,62.33528845,-8.8,0.34
-79.66203915,62.41862615,-8.8,0.336
-79.57870145,45.00104685,5.6,0.994
-79.57870145,45.08438455,5.5,1.006
-79.57870145,45.16772225,5.3,1.021
-79.57870145,45.25105995,5,1.032
-79.57870145,45.33439765,4.8,1.038
-79.57870145,45.41773535,4.7,1.038
-79.57870145,45.50107305,4.6,1.033
-79.57870145,45.58441075,4.6,1.02
-79.57870145,45.66774845,4.4,1.016
-79.57870145,45.75108615,4.2,1.008
-79.57870145,45.83442385,4.1,0.999
-79.57870145,45.91776155,4.1,0.986
-79.57870145,46.00109925,4.2,0.965
-79.57870145,46.08443695,4.5,0.937
-79.57870145,46.16777465,4.5,0.923
-79.57870145,46.25111235,4.5,0.915
-79.57870145,46.33445005,3.9,0.929
-79.57870145,46.41778775,3.7,0.929
-79.57870145,46.50112545,3.5,0.929
-79.57870145,46.58446315,3.5,0.916
-79.57870145,46.66780085,3.5,0.906
-79.57870145,46.75113855,3.5,0.898
-79.57870145,46.83447625,3.4,0.891
-79.57870145,46.91781395,3.2,0.888
-79.57870145,47.00115165,3.1,0.882
-79.57870145,47.08448935,2.9,0.876
-79.57870145,47.16782705,2.8,0.868
-79.57870145,47.25116475,2.9,0.854
-79.57870145,47.33450245,3.2,0.826
-79.57870145,47.41784015,3.1,0.819
-79.57870145,47.50117785,3.1,0.812
-79.57870145,47.58451555,2.9,0.81
-79.57870145,47.66785325,2.7,0.814
-79.57870145,47.75119095,2.3,0.823
-79.57870145,47.83452865,2.1,0.828
-79.57870145,47.91786635,1.9,0.835
-79.57870145,48.00120405,1.9,0.833
-79.57870145,48.08454175,1.6,0.843
-79.57870145,48.16787945,1.6,0.839
-79.57870145,48.25121715,1.4,0.845
-79.57870145,48.33455485,1.3,0.843
-79.57870145,48.41789255,1.4,0.839
-79.57870145,48.50123025,1.3,0.839
-79.57870145,48.58456795,1.2,0.837
-79.57870145,48.66790565,1.1,0.836
-79.57870145,48.75124335,1,0.836
-79.57870145,48.83458105,0.9,0.837
-79.57870145,48.91791875,0.7,0.839
-79.57870145,49.00125645,0.5,0.843
-79.57870145,49.08459415,0.4,0.84
-79.57870145,49.16793185,0.3,0.841
-79.57870145,49.25126955,0.4,0.833
-79.57870145,49.33460725,0.4,0.827
-79.57870145,49.41794495,0.3,0.823
-79.57870145,49.50128265,0.2,0.823
-79.57870145,49.58462035,0,0.823
-79.57870145,49.66795805,0,0.819
-79.57870145,49.75129575,0,0.815
-79.57870145,49.83463345,0,0.81
-79.57870145,49.91797115,-0.1,0.807
-79.57870145,50.00130885,-0.3,0.809
-79.57870145,50.08464655,-0.4,0.809
-79.57870145,50.16798425,-0.4,0.803
-79.57870145,50.25132195,-0.5,0.799
-79.57870145,50.33465965,-0.5,0.795
-79.57870145,50.41799735,-0.4,0.786
-79.57870145,50.50133505,-0.3,0.775
-79.57870145,50.58467275,-0.2,0.763
-79.57870145,50.66801045,0,0.751
-79.57870145,50.75134815,0,0.743
-79.57870145,50.83468585,0,0.739
-79.57870145,50.91802355,-0.1,0.735
-79.57870145,51.00136125,-0.2,0.734
-79.57870145,51.08469895,-0.2,0.731
-79.57870145,51.16803665,-0.3,0.728
-79.57870145,51.25137435,-0.3,0.724
-79.57870145,51.33471205,-0.4,0.721
-79.57870145,51.41804975,-0.5,0.718
-79.57870145,51.50138745,-0.6,0.716
-79.57870145,51.91807595,-1,0.698
-79.57870145,52.00141365,-1.1,0.695
-79.57870145,52.50143985,-1.5,0.674
-79.57870145,54.33486925,-3.1,0.609
-79.57870145,54.41820695,-3.2,0.607
-79.57870145,54.50154465,-3.3,0.604
-79.57870145,54.58488235,-3.4,0.604
-79.57870145,54.66822005,-3.5,0.602
-79.57870145,54.75155775,-3.5,0.598
-79.57870145,54.83489545,-3.6,0.596
-79.57870145,55.50159705,-4.1,0.571
-79.57870145,55.58493475,-4.2,0.568
-79.57870145,55.83494785,-4.5,0.56
-79.57870145,55.91828555,-4.6,0.556
-79.57870145,56.00162325,-4.7,0.553
-79.57870145,56.08496095,-4.7,0.548
-79.57870145,56.16829865,-4.8,0.545
-79.57870145,56.25163635,-4.8,0.54
-79.57870145,56.33497405,-4.8,0.535
-79.57870145,56.41831175,-4.9,0.531
-79.57870145,56.50164945,-5,0.527
-79.57870145,56.58498715,-5.1,0.524
-79.57870145,56.66832485,-5.2,0.521
-79.57870145,56.75166255,-5.2,0.516
-79.57870145,61.66858685,-8.4,0.353
-79.57870145,61.75192455,-8.4,0.352
-79.57870145,61.83526225,-8.6,0.352
-79.57870145,61.91859995,-8.6,0.351
-79.57870145,62.00193765,-8.9,0.353
-79.57870145,62.08527535,-9,0.352
-79.57870145,62.16861305,-9,0.351
-79.57870145,62.25195075,-9,0.348
-79.57870145,62.33528845,-8.8,0.34
-79.49536375,45.00104685,5.5,0.994
