B M R T
0.002 0.7 0.104 0.194
0.026 0.002 0.912 0.06
0.026 0.002 0.912 0.06
0.026 0.002 0.912 0.06
0.026 0.002 0.912 0.06
0.022 0.376 0.096 0.506
0 0 0.096 0.904
0 0 0.072 0.928
0.012 0.032 0.9 0.056
0.19 0.034 0.764 0.012
0.662 0.02 0.288 0.03
0.14 0.096 0.764 0
0.202 0.07 0.694 0.034
0.662 0.02 0.288 0.03
0.434 0.054 0.418 0.094
0 0.056 0.592 0.352
0.034 0.022 0.454 0.49
0.004 0.102 0.67 0.224
0.116 0.008 0.562 0.314
0.116 0.008 0.562 0.314
0 0 0.078 0.922
0 0 0.562 0.438
0.116 0.008 0.562 0.314
0.116 0.008 0.562 0.314
0.116 0.008 0.562 0.314
0.116 0.008 0.562 0.314
0 0 0.458 0.542
0 0 0.448 0.552
0.024 0.002 0.794 0.18
0.074 0.034 0.514 0.378
0.024 0.002 0.794 0.18
0.074 0.034 0.514 0.378
0 0 0.598 0.402
0 0 0.374 0.626
0.004 0.068 0.906 0.022
0.014 0.022 0.924 0.04
0.118 0.292 0.366 0.224
0.024 0.002 0.794 0.18
0.074 0.034 0.514 0.378
0.114 0.042 0.67 0.174
0.034 0.022 0.454 0.49
0.004 0.102 0.67 0.224
0 0 0.578 0.422
0 0 0.606 0.394
0 0 0.578 0.422
0.004 0.234 0.756 0.006
0.04 0.022 0.908 0.03
0.142 0 0.38 0.478
0.142 0 0.38 0.478
0.142 0 0.38 0.478
0.04 0.11 0.604 0.246
0 0 0.6 0.4
0 0 0.872 0.128
0 0 0.106 0.894
0.284 0.326 0.162 0.228
0.208 0.43 0.282 0.08
0 0 0.6 0.4
0 0 0.176 0.824
0 0 0.576 0.424
0.428 0.068 0.302 0.202
0 0 0.46 0.54
0 0 0.136 0.864
0.032 0.164 0.204 0.6
0.036 0.396 0.286 0.282
0 0 0.136 0.864
0 0 0.136 0.864
0.184 0.602 0.022 0.192
0.286 0.17 0.128 0.416
0 0 0.876 0.124
0 0 0.234 0.766
0.038 0 0.682 0.28
0 0.024 0.742 0.234
0 0 0.27 0.73
0 0 0.546 0.454
0.024 0.47 0.378 0.128
0.156 0.722 0.098 0.024
0.19 0.026 0.734 0.05
0.118 0.07 0.776 0.036
0.19 0.026 0.734 0.05
0.118 0.07 0.776 0.036
0 0 0.444 0.556
0 0 0.432 0.568
0.19 0.026 0.734 0.05
0.118 0.07 0.776 0.036
0.108 0.178 0.362 0.352
0.01 0.01 0.91 0.07
0.108 0.178 0.362 0.352
0.01 0.01 0.91 0.07
0.19 0.026 0.734 0.05
0.118 0.07 0.776 0.036
0.19 0.026 0.734 0.05
0.118 0.07 0.776 0.036
0.118 0.07 0.776 0.036
0.004 0.068 0.906 0.022
0.014 0.022 0.924 0.04
0.052 0.034 0.598 0.316
0 0 0.48 0.52
0 0 0.566 0.434
0 0.328 0.312 0.36
0.488 0.126 0.152 0.234
0.04 0 0.52 0.44
0.012 0.002 0.856 0.13
0 0 0.154 0.846
0 0 0.126 0.874
0 0 0.282 0.718
0.002 0.004 0.138 0.856
0 0 0.154 0.846
0.002 0.004 0.138 0.856
0 0 0.22 0.78
0 0 0.756 0.244
0 0 0.594 0.406
0 0 0.188 0.812
0 0 0.188 0.812
0 0 0.188 0.812
0 0 0.188 0.812
0.036 0.022 0.676 0.266
0.21 0.024 0.394 0.372
0.022 0.01 0.43 0.538
0.034 0.056 0.752 0.158
0 0.044 0.53 0.426
0.034 0.056 0.752 0.158
0 0.044 0.53 0.426
0.358 0.35 0.21 0.082
0.02 0.34 0.496 0.144
0.358 0.35 0.21 0.082
0.02 0.34 0.496 0.144
0.358 0.35 0.21 0.082
0.02 0.34 0.496 0.144
0.358 0.35 0.21 0.082
0.02 0.34 0.496 0.144
0.358 0.35 0.21 0.082
0.02 0.34 0.496 0.144
0.358 0.35 0.21 0.082
0.02 0.34 0.496 0.144
0.358 0.35 0.21 0.082
0.02 0.34 0.496 0.144
0.068 0.012 0.278 0.642
0.096 0.04 0.246 0.618
0 0.014 0.842 0.144
0 0.014 0.842 0.144
0 0.014 0.842 0.144
0 0.014 0.842 0.144
0.068 0.012 0.278 0.642
0.096 0.04 0.246 0.618
0.01 0.132 0.646 0.212
0 0 0.318 0.682
0 0 0.154 0.846
0 0 0.126 0.874
0.068 0.012 0.278 0.642
0.096 0.04 0.246 0.618
0.412 0.134 0.44 0.014
