B M R T
0.03 0.012 0.93 0.028
0.118 0.158 0.692 0.032
0.088 0.052 0.42 0.44
0.088 0.052 0.42 0.44
0.278 0.078 0.508 0.136
0 0.24 0.438 0.322
0.118 0.158 0.692 0.032
0.118 0.158 0.692 0.032
0.118 0.158 0.692 0.032
0.316 0.028 0.588 0.068
0.344 0.024 0.618 0.014
0.018 0.094 0.676 0.212
0.032 0.036 0.838 0.094
0.044 0.042 0.868 0.046
0.006 0.012 0.408 0.574
0.018 0.094 0.676 0.212
0.032 0.036 0.838 0.094
0 0 0.196 0.804
0 0 0.152 0.848
0 0 0.676 0.324
0.264 0.286 0.402 0.048
0.108 0.596 0.22 0.076
0.206 0.408 0.344 0.042
0.098 0.146 0.388 0.368
0.032 0.006 0.636 0.326
0.14 0.012 0.75 0.098
0.4 0.234 0.316 0.05
0.19 0.198 0.602 0.01
0 0 0.236 0.764
0 0 0.108 0.892
0.032 0.006 0.636 0.326
0.14 0.012 0.75 0.098
0 0 0.236 0.764
0 0 0.108 0.892
0 0 0.108 0.892
0.03 0.016 0.286 0.668
0 0 0.236 0.764
0 0 0.108 0.892
0.03 0.016 0.286 0.668
0.03 0.016 0.286 0.668
0.03 0.016 0.286 0.668
0.022 0.04 0.83 0.108
0.232 0.168 0.35 0.25
0.086 0.214 0.23 0.47
0 0.07 0.198 0.732
0 0.07 0.198 0.732
0.128 0.002 0.63 0.24
0.048 0.54 0.388 0.024
0.02 0.234 0.132 0.614
0.128 0.002 0.63 0.24
0.048 0.54 0.388 0.024
0.004 0.074 0.22 0.702
0 0 0.748 0.252
0 0 0.748 0.252
0 0 0.748 0.252
0 0 0.782 0.218
0 0 0.418 0.582
0 0.098 0.484 0.418
0 0 0.696 0.304
0 0 0.312 0.688
0.03 0.062 0.77 0.138
0.018 0.11 0.76 0.112
0.006 0.002 0.866 0.126
0.256 0.278 0.42 0.046
0 0 0.288 0.712
0 0 0.338 0.662
0.024 0.054 0.65 0.272
0.022 0.034 0.586 0.358
0 0.02 0.068 0.912
0 0 0.038 0.962
0 0 0.038 0.962
0 0.098 0.484 0.418
0 0 0.696 0.304
0.086 0.214 0.23 0.47
0 0 0.264 0.736
0 0 0.186 0.814
0.024 0.904 0.04 0.032
0.196 0.246 0.474 0.084
0.128 0.3 0.364 0.208
0.698 0.016 0.286 0
0.068 0.106 0.714 0.112
0.132 0.144 0.562 0.162
0 0.002 0.406 0.592
0 0 0.764 0.236
0.216 0.066 0.656 0.062
0.43 0.17 0.11 0.29
0.354 0.276 0.362 0.008
0.364 0 0.636 0
0.666 0 0.334 0
0.308 0 0.692 0
0.448 0 0.552 0
0.398 0 0.602 0
0.292 0.362 0.336 0.01
0.47 0.26 0.26 0.01
0.684 0 0.316 0
0.202 0.09 0.592 0.116
0.112 0.648 0.094 0.146
0.048 0.21 0.63 0.112
0 0 0.578 0.422
0 0 0.242 0.758
0 0 0.424 0.576
0 0 0.214 0.786
0 0 0.424 0.576
0 0 0.214 0.786
0 0 0.424 0.576
0 0 0.214 0.786
0 0 0.484 0.516
0 0 0.728 0.272
0.772 0.144 0.064 0.02
0.526 0.44 0.018 0.016
0.002 0.226 0.406 0.366
0.098 0.072 0.482 0.348
0 0.096 0.218 0.686
0.81 0.008 0.182 0
0.714 0.032 0.254 0
0.484 0.136 0.378 0.002
0 0 0.634 0.366
0.098 0.072 0.482 0.348
0 0.096 0.218 0.686
0.208 0.004 0.676 0.112
0.026 0.002 0.656 0.316
0 0 0.516 0.484
0 0 0.492 0.508
0 0 0.152 0.848
0.292 0.004 0.612 0.092
0.004 0.006 0.95 0.04
0.298 0 0.702 0
0.11 0.004 0.876 0.01
0.298 0 0.702 0
0.11 0.004 0.876 0.01
0.196 0.018 0.72 0.066
0.1 0.034 0.342 0.524
0 0 0.194 0.806
0 0 0.61 0.39
0.358 0.004 0.634 0.004
0.276 0.11 0.592 0.022
0.076 0.048 0.824 0.052
0.346 0.07 0.416 0.168
0 0 0.152 0.848
0.01 0.002 0.81 0.178
0 0.162 0.236 0.602
0 0 0.516 0.484
0 0 0.516 0.484
0.104 0.002 0.8 0.094
0.032 0.038 0.704 0.226
0 0 0.086 0.914
0 0 0.308 0.692
0.122 0.162 0.546 0.17
0.104 0.002 0.8 0.094
0.032 0.038 0.704 0.226
0.104 0.002 0.8 0.094
0.032 0.038 0.704 0.226
0 0 0.554 0.446
0.086 0.282 0.33 0.302
0.086 0.282 0.33 0.302
0.086 0.282 0.33 0.302
0.012 0.048 0.546 0.394
0.012 0.048 0.546 0.394
0.012 0.048 0.546 0.394
0.012 0.048 0.546 0.394
0.002 0.01 0.97 0.018
0.15 0.022 0.408 0.42
0 0 0.244 0.756
0 0 0.774 0.226
0.002 0.01 0.97 0.018
0.15 0.022 0.408 0.42
0.002 0.01 0.97 0.018
0.15 0.022 0.408 0.42
0.018 0.02 0.592 0.37
0.018 0.02 0.592 0.37
0.018 0.02 0.592 0.37
0.024 0.25 0.62 0.106
0.038 0.156 0.606 0.2
0.098 0.28 0.096 0.526
0 0 0.748 0.252
0.094 0.148 0.518 0.24
0.026 0.102 0.564 0.308
0.094 0.148 0.518 0.24
0.026 0.102 0.564 0.308
0.024 0.25 0.62 0.106
0.038 0.156 0.606 0.2
0 0 0.75 0.25
0.094 0.148 0.518 0.24
0.026 0.102 0.564 0.308
0.024 0.01 0.964 0.002
0 0 0.088 0.912
0 0 0.41 0.59
0.488 0.004 0.508 0
0.106 0.126 0.42 0.348
0 0 0.176 0.824
0 0 0.498 0.502
0 0 0.664 0.336
0 0 0.472 0.528
0 0.002 0.152 0.846
0.488 0.004 0.508 0
0.488 0.004 0.508 0
0.488 0.004 0.508 0
0.488 0.004 0.508 0
0.488 0.004 0.508 0
0.488 0.004 0.508 0
0.144 0.056 0.63 0.17
0 0.062 0.178 0.76
0.022 0.058 0.804 0.116
0 0.062 0.178 0.76
0.022 0.058 0.804 0.116
0 0 0.568 0.432
0 0 0.692 0.308
0 0.062 0.178 0.76
0.022 0.058 0.804 0.116
0 0.062 0.178 0.76
0.022 0.058 0.804 0.116
0.022 0.058 0.804 0.116
0 0.062 0.178 0.76
0.022 0.058 0.804 0.116
0 0.062 0.178 0.76
0.022 0.058 0.804 0.116
0 0 0.562 0.438
0 0 0.43 0.57
0 0.002 0.7 0.298
0 0 0.47 0.53
0.544 0.318 0.138 0
0.606 0.184 0.21 0
0.302 0.22 0.412 0.066
0.434 0 0.566 0
0.304 0 0.694 0.002
0.352 0 0.648 0
0.372 0 0.628 0
0.686 0.002 0.312 0
0.274 0.042 0.59 0.094
0.278 0.182 0.538 0.002
0.592 0.282 0.096 0.03
0.46 0.346 0.194 0
0.26 0.372 0.084 0.284
0.278 0.61 0.016 0.096
0.294 0.552 0.128 0.026
0.04 0.316 0.622 0.022
0.56 0.352 0.032 0.056
0.174 0.374 0.422 0.03
0.198 0.11 0.428 0.264
0.206 0.468 0.302 0.024
0.27 0.208 0.392 0.13
0.112 0.494 0.216 0.178
0.044 0.298 0.128 0.53
0.014 0.002 0.808 0.176
0.012 0.146 0.538 0.304
0.034 0.07 0.49 0.406
0.032 0.136 0.292 0.54
0.116 0.308 0.504 0.072
0.058 0.51 0.194 0.238
0.116 0.308 0.504 0.072
0.058 0.51 0.194 0.238
0.116 0.308 0.504 0.072
0.058 0.51 0.194 0.238
0.116 0.308 0.504 0.072
0.058 0.51 0.194 0.238
0.004 0.28 0.004 0.712
0 0 0.256 0.744
0.25 0.034 0.372 0.344
0.034 0.07 0.49 0.406
0.032 0.136 0.292 0.54
0.034 0.07 0.49 0.406
0.032 0.136 0.292 0.54
0.484 0 0.466 0.05
0.484 0 0.466 0.05
0.008 0.26 0.2 0.532
0.01 0.132 0.442 0.416
0.006 0.208 0.734 0.052
0.082 0.096 0.076 0.746
0.008 0.132 0.148 0.712
0.082 0.096 0.076 0.746
0.008 0.132 0.148 0.712
0.082 0.096 0.076 0.746
0.008 0.132 0.148 0.712
0.002 0.454 0.074 0.47
0 0 0.316 0.684
0.082 0.096 0.076 0.746
0.008 0.132 0.148 0.712
0.104 0.582 0.16 0.154
0.484 0 0.466 0.05
0.484 0 0.466 0.05
0 0 0.306 0.694
0 0 0.442 0.558
0.002 0.292 0.162 0.544
0.016 0.038 0.164 0.782
0 0 0.466 0.534
0 0 0.702 0.298
0 0 0.702 0.298
0 0 0.702 0.298
0 0 0.702 0.298
0.006 0.018 0.666 0.31
0.164 0.092 0.526 0.218
0.012 0.01 0.308 0.67
0.164 0.092 0.526 0.218
0.012 0.01 0.308 0.67
0 0 0.316 0.684
0 0 0.4 0.6
0 0 0.378 0.622
0.002 0.292 0.162 0.544
0 0 0.142 0.858
0 0 0.142 0.858
0 0 0.524 0.476
0 0 0.524 0.476
0.198 0.208 0.16 0.434
0.296 0.388 0.106 0.21
0.23 0.604 0.108 0.058
0 0 0.182 0.818
0 0 0.428 0.572
0 0 0.316 0.684
0 0 0.632 0.368
0 0 0.302 0.698
0 0 0.258 0.742
0 0 0.374 0.626
0 0 0.374 0.626
0 0 0.566 0.434
0 0.002 0.274 0.724
0 0 0.434 0.566
0 0 0.142 0.858
0 0.004 0.142 0.854
0 0 0.142 0.858
0.006 0.042 0.656 0.296
0 0.114 0.672 0.214
0 0 0.366 0.634
0.006 0.042 0.656 0.296
0 0.114 0.672 0.214
0.006 0.042 0.656 0.296
0 0.114 0.672 0.214
0.312 0.018 0.488 0.182
0.038 0.054 0.398 0.51
0.006 0.042 0.656 0.296
0 0.114 0.672 0.214
0.312 0.018 0.488 0.182
0.038 0.054 0.398 0.51
0.312 0.018 0.488 0.182
0.038 0.054 0.398 0.51
0.03 0 0.528 0.442
0.004 0.016 0.254 0.726
0.084 0.28 0.45 0.186
0.016 0.382 0.212 0.39
0.038 0 0.948 0.014
0.122 0 0.878 0
0.156 0 0.364 0.48
0.342 0.012 0.644 0.002
0.016 0.382 0.212 0.39
0 0 0.218 0.782
0.684 0.058 0.162 0.096
0.684 0.058 0.162 0.096
0.684 0.058 0.162 0.096
0.342 0.012 0.644 0.002
0.156 0 0.364 0.48
0.342 0.012 0.644 0.002
0.392 0.004 0.604 0
0.02 0.026 0.952 0.002
0 0 0.336 0.664
0 0 0.82 0.18
0.156 0 0.364 0.48
0.342 0.012 0.644 0.002
0.156 0 0.364 0.48
0.342 0.012 0.644 0.002
0 0 0.31 0.69
0 0.132 0.024 0.844
0 0.132 0.024 0.844
0 0.132 0.024 0.844
0.462 0.212 0.282 0.044
0.466 0.008 0.484 0.042
0 0 0.342 0.658
0 0 0.358 0.642
0 0 0.714 0.286
0 0 0.504 0.496
0 0 0.166 0.834
0 0 0.504 0.496
0 0 0.166 0.834
0.466 0.008 0.484 0.042
0 0 0.638 0.362
0.168 0.204 0.314 0.314
0.306 0.484 0.144 0.066
0 0 0.48 0.52
0 0 0.062 0.938
0 0 0.454 0.546
0 0 0.512 0.488
0.044 0.386 0.216 0.354
0.044 0.386 0.216 0.354
0.044 0.386 0.216 0.354
0.044 0.386 0.216 0.354
0.334 0.478 0.098 0.09
0 0 0.596 0.404
0 0 0.166 0.834
0 0 0.042 0.958
0.006 0.138 0.202 0.654
0 0 0.596 0.404
0 0 0.308 0.692
0 0 0.352 0.648
0.006 0.138 0.202 0.654
0.006 0.138 0.202 0.654
0 0 0.352 0.648
0.126 0.814 0.026 0.034
0.548 0.076 0.28 0.096
0.122 0.49 0.22 0.168
0.31 0.494 0.18 0.016
0.02 0.636 0.276 0.068
0.076 0.606 0.116 0.202
0.422 0 0.578 0
0.476 0 0.524 0
0.552 0 0.448 0
0.542 0 0.458 0
0.51 0.348 0.13 0.012
0.2 0.576 0.164 0.06
0.278 0.304 0.244 0.174
0.162 0.226 0.554 0.058
0.382 0.34 0.092 0.186
0.212 0.482 0.248 0.058
0.064 0.714 0.144 0.078
0.364 0.114 0.408 0.114
0 0.002 0.908 0.09
0 0 0.576 0.424
0 0 0.596 0.404
0 0 0.42 0.58
0 0 0.748 0.252
0.242 0.47 0.164 0.124
0.088 0.382 0.362 0.168
0.462 0.034 0.458 0.046
0 0 0.14 0.86
0 0 0.14 0.86
0 0 0.14 0.86
0.05 0.044 0.818 0.088
0.19 0.086 0.598 0.126
0 0 0.888 0.112
0 0.002 0.844 0.154
0 0 0.114 0.886
0 0 0.414 0.586
0 0 0.518 0.482
0 0 0.55 0.45
0.138 0.126 0.28 0.456
0.012 0.006 0.922 0.06
0 0 0.088 0.912
0 0 0.562 0.438
0 0 0.246 0.754
0.006 0.078 0.332 0.584
0 0 0.562 0.438
0 0 0.562 0.438
0.64 0 0.36 0
0.462 0.02 0.516 0.002
0.64 0 0.36 0
0.462 0.02 0.516 0.002
0.64 0 0.36 0
0.462 0.02 0.516 0.002
0.374 0.038 0.588 0
0.188 0.014 0.798 0
0.64 0 0.36 0
0.462 0.02 0.516 0.002
0.374 0.038 0.588 0
0.188 0.014 0.798 0
0.374 0.038 0.588 0
0.188 0.014 0.798 0
0 0 0.224 0.776
0 0 0.432 0.568
0 0 0.118 0.882
0 0 0.016 0.984
0 0 0.624 0.376
0.64 0 0.36 0
0.462 0.02 0.516 0.002
0.028 0.106 0.852 0.014
0.01 0.014 0.702 0.274
0.028 0.106 0.852 0.014
0.01 0.014 0.702 0.274
0 0 0.56 0.44
0 0 0.518 0.482
0.118 0.29 0.112 0.48
0 0 0.42 0.58
0 0 0.748 0.252
0 0 0.64 0.36
0 0 0.64 0.36
0.052 0.102 0.748 0.098
0.2 0.06 0.706 0.034
0.036 0.006 0.954 0.004
0 0 0.492 0.508
0 0 0.492 0.508
0 0 0.492 0.508
0.148 0.05 0.758 0.044
0.148 0.05 0.758 0.044
0.132 0.538 0.166 0.164
0.06 0.356 0.454 0.13
0.132 0.538 0.166 0.164
0.06 0.356 0.454 0.13
0.132 0.538 0.166 0.164
0.06 0.356 0.454 0.13
0 0.002 0.514 0.484
0.2 0.06 0.706 0.034
0.036 0.006 0.954 0.004
0.132 0.538 0.166 0.164
0.06 0.356 0.454 0.13
0 0 0.374 0.626
0 0 0.39 0.61
0 0 0.374 0.626
0 0 0.374 0.626
0 0 0.39 0.61
0.364 0.132 0.248 0.256
0.364 0.132 0.248 0.256
0.364 0.132 0.248 0.256
0.364 0.132 0.248 0.256
0.364 0.132 0.248 0.256
0.364 0.132 0.248 0.256
0.364 0.132 0.248 0.256
0.214 0.092 0.644 0.05
0.054 0.062 0.85 0.034
0.214 0.092 0.644 0.05
0.054 0.062 0.85 0.034
0.214 0.092 0.644 0.05
0.054 0.062 0.85 0.034
0.364 0.132 0.248 0.256
0.262 0.24 0.24 0.258
0.3 0.064 0.596 0.04
0.136 0.06 0.758 0.046
0 0 0.356 0.644
0.302 0 0.698 0
0.332 0 0.666 0.002
0.016 0 0.984 0
0.36 0 0.64 0
0.318 0.154 0.5 0.028
0.172 0.56 0.262 0.006
0.528 0.338 0.064 0.07
0.82 0.004 0.166 0.01
0.652 0 0.348 0
0.7 0.024 0.276 0
0.826 0 0.174 0
0.052 0.528 0.376 0.044
0.24 0.294 0.212 0.254
0.274 0.094 0.584 0.048
0.232 0.308 0.052 0.408
0.136 0 0.864 0
0 0 0.71 0.29
0 0 0.214 0.786
0 0 0.77 0.23
0 0 0.71 0.29
0 0 0.214 0.786
0.062 0.14 0.792 0.006
0.196 0.022 0.642 0.14
0.154 0.376 0.186 0.284
0.042 0.37 0.538 0.05
0.294 0.138 0.43 0.138
0 0 0.428 0.572
0 0 0.428 0.572
0.52 0 0.48 0
0.102 0 0.898 0
0.19 0 0.81 0
0.004 0.016 0.826 0.154
0.158 0.034 0.254 0.554
0 0 0.538 0.462
0 0 0.612 0.388
0.004 0.006 0.948 0.042
0 0 0.904 0.096
0.052 0.68 0.252 0.016
0.214 0.302 0.282 0.202
0.048 0.402 0.278 0.272
0.004 0.154 0.724 0.118
0.048 0.402 0.278 0.272
0.004 0.154 0.724 0.118
0.016 0 0.422 0.562
0.002 0 0.396 0.602
0.122 0.006 0.648 0.224
0 0.044 0.75 0.206
0 0 0.574 0.426
0.002 0.01 0.266 0.722
0.02 0.012 0.044 0.924
0.004 0.206 0.41 0.38
0.004 0.326 0.414 0.256
0.004 0.206 0.41 0.38
0.004 0.326 0.414 0.256
0.27 0.478 0.072 0.18
0.152 0.196 0.426 0.226
0.27 0.478 0.072 0.18
0.152 0.196 0.426 0.226
0.002 0.01 0.266 0.722
0.02 0.012 0.044 0.924
0.27 0.478 0.072 0.18
0.152 0.196 0.426 0.226
0.042 0.726 0.228 0.004
0.132 0.51 0.334 0.024
0.042 0.726 0.228 0.004
0.132 0.51 0.334 0.024
0.042 0.726 0.228 0.004
0.132 0.51 0.334 0.024
0 0 0.456 0.544
0.004 0.206 0.41 0.38
0.004 0.326 0.414 0.256
0.2 0 0.644 0.156
0.002 0.042 0.88 0.076
0.184 0.034 0.778 0.004
0.086 0.046 0.864 0.004
0.184 0.034 0.778 0.004
0.086 0.046 0.864 0.004
0.184 0.034 0.778 0.004
0.086 0.046 0.864 0.004
0 0 0.268 0.732
0 0 0.594 0.406
0 0 0.638 0.362
0 0 0.164 0.836
0.064 0.106 0.656 0.174
0 0.056 0.49 0.454
0.122 0.358 0.176 0.344
0.034 0.666 0.21 0.09
0.214 0.006 0.564 0.216
0.122 0.358 0.176 0.344
0.034 0.666 0.21 0.09
0.536 0.238 0.214 0.012
0.07 0.602 0.046 0.282
0.122 0.358 0.176 0.344
0.034 0.666 0.21 0.09
0.122 0.358 0.176 0.344
0.034 0.666 0.21 0.09
0.536 0.238 0.214 0.012
0.07 0.602 0.046 0.282
0.452 0.126 0.096 0.326
0.488 0.378 0.038 0.096
0.536 0.238 0.214 0.012
0.07 0.602 0.046 0.282
0.536 0.238 0.214 0.012
0.07 0.602 0.046 0.282
0 0.12 0.874 0.006
0.014 0.036 0.914 0.036
0 0 0.354 0.646
0 0 0.088 0.912
0.046 0.658 0.296 0
0.034 0.004 0.646 0.316
0 0 0.45 0.55
0.006 0.366 0.18 0.448
0.028 0.024 0.888 0.06
0.024 0.186 0.382 0.408
0 0.002 0.284 0.714
0.214 0 0.786 0
0.216 0.012 0.772 0
0.246 0 0.754 0
0.284 0.002 0.68 0.034
0.396 0.016 0.588 0
0.458 0 0.542 0
0.56 0.182 0.124 0.134
0.14 0.586 0.272 0.002
0.454 0.104 0.44 0.002
0.114 0.518 0.084 0.284
0.124 0.226 0.39 0.26
0.588 0.266 0.116 0.03
0.136 0.348 0.358 0.158
0.428 0.276 0.196 0.1
0.692 0.09 0.218 0
0.378 0.394 0.206 0.022
0.332 0.32 0.19 0.158
0.418 0.268 0.194 0.12
0.142 0.25 0.314 0.294
0.16 0.402 0.256 0.182
0.53 0 0.47 0
0.33 0 0.67 0
0.866 0 0.134 0
0.552 0.07 0.378 0
0.544 0.024 0.432 0
0.8 0 0.2 0
0.222 0.57 0.132 0.076
0.382 0.328 0.084 0.206
0.382 0.418 0.124 0.076
0.006 0.002 0.982 0.01
0.03 0.164 0.696 0.11
0.14 0.08 0.502 0.278
0 0.04 0.5 0.46
0 0.12 0.874 0.006
0.014 0.036 0.914 0.036
0 0 0.302 0.698
0.088 0.312 0.18 0.42
0 0 0.31 0.69
0.094 0 0.636 0.27
0.094 0 0.636 0.27
0.176 0.118 0.554 0.152
0.044 0.028 0.69 0.238
0 0.014 0.412 0.574
0.022 0.05 0.716 0.212
0 0.002 0.736 0.262
0.076 0.108 0.796 0.02
0.076 0.108 0.796 0.02
0.014 0.004 0.908 0.074
0.246 0.028 0.514 0.212
0 0 0.24 0.76
0 0 0.6 0.4
0.434 0.118 0.34 0.108
0 0 0.23 0.77
0.188 0.024 0.314 0.474
0.214 0.188 0.594 0.004
0.188 0.492 0.32 0
0 0 0.23 0.77
0.188 0.024 0.314 0.474
0 0 0.23 0.77
0.188 0.024 0.314 0.474
0.002 0.22 0.282 0.496
0.014 0.104 0.818 0.064
0.072 0.22 0.564 0.144
0.32 0.33 0.234 0.116
0.086 0.026 0.444 0.444
0 0.34 0.06 0.6
0.072 0.22 0.564 0.144
0.32 0.33 0.234 0.116
0.294 0.234 0.254 0.218
0.492 0.246 0.25 0.012
0.294 0.234 0.254 0.218
0.492 0.246 0.25 0.012
0.072 0.22 0.564 0.144
0.32 0.33 0.234 0.116
0.294 0.234 0.254 0.218
0.492 0.246 0.25 0.012
0.086 0.026 0.444 0.444
0 0.34 0.06 0.6
0.086 0.026 0.444 0.444
0 0.34 0.06 0.6
0.15 0.046 0.226 0.578
0 0 0.27 0.73
0.02 0.004 0.43 0.546
0.05 0.166 0.36 0.424
0.436 0.014 0.508 0.042
0 0 0.092 0.908
0.03 0.056 0.328 0.586
0 0 0.286 0.714
0.556 0.002 0.11 0.332
0.636 0.056 0.304 0.004
0.004 0.002 0.37 0.624
0 0 0.7 0.3
0.566 0 0.434 0
0.54 0.068 0.392 0
0 0 0.38 0.62
0 0 0.202 0.798
0.292 0.048 0.582 0.078
0 0 0.38 0.62
0 0 0.202 0.798
0.256 0.03 0.304 0.41
0.114 0.046 0.814 0.026
0 0 0.808 0.192
0 0 0.346 0.654
0.15 0.046 0.226 0.578
0 0 0.27 0.73
0 0 0.346 0.654
0 0 0.684 0.316
0.256 0.03 0.304 0.41
0 0 0.212 0.788
0 0 0.798 0.202
0 0 0.578 0.422
0 0 0.578 0.422
0 0 0.274 0.726
0 0 0.274 0.726
0.332 0.014 0.332 0.322
0.332 0.014 0.332 0.322
0.332 0.014 0.332 0.322
0 0 0.686 0.314
0 0 0.346 0.654
0 0 0.316 0.684
0 0 0.79 0.21
0 0 0.79 0.21
0 0 0.578 0.422
0 0 0.79 0.21
0.108 0.052 0.696 0.144
0 0 0.82 0.18
0 0 0.712 0.288
0 0 0.664 0.336
0 0 0.05 0.95
0 0 0.022 0.978
0 0 0.55 0.45
0 0 0.526 0.474
0 0 0.55 0.45
0 0 0.526 0.474
0 0 0.55 0.45
0 0 0.526 0.474
0 0 0.55 0.45
0 0 0.526 0.474
0 0 0.786 0.214
0 0 0.664 0.336
0 0 0.396 0.604
0 0 0.452 0.548
0 0 0.16 0.84
0 0 0.228 0.772
0 0 0.33 0.67
0.296 0.084 0.382 0.238
0.024 0.09 0.194 0.692
0.296 0.084 0.382 0.238
0.09 0.472 0.202 0.236
0.296 0.362 0.226 0.116
0.024 0.09 0.194 0.692
0 0 0.27 0.73
0 0 0.176 0.824
0 0 0.27 0.73
0 0 0.176 0.824
0 0 0.316 0.684
0 0 0.762 0.238
0 0 0.322 0.678
0 0 0.846 0.154
0 0 0.252 0.748
0 0 0.168 0.832
0 0 0.322 0.678
0 0 0.356 0.644
0 0 0.424 0.576
0.064 0.212 0.68 0.044
0 0 0.356 0.644
0 0 0.424 0.576
0 0 0.252 0.748
0 0 0.168 0.832
0 0 0.252 0.748
0 0 0.168 0.832
0 0 0.252 0.748
0 0 0.168 0.832
0 0 0.652 0.348
0 0 0.346 0.654
0 0 0.198 0.802
0 0 0.314 0.686
0.054 0.084 0.838 0.024
0.13 0.032 0.724 0.114
0.1 0.002 0.896 0.002
0.452 0 0.426 0.122
0.054 0.084 0.838 0.024
0.13 0.032 0.724 0.114
0.822 0 0.178 0
0.53 0 0.47 0
0.884 0 0.116 0
0.726 0.004 0.27 0
0.18 0 0.818 0.002
0.378 0.268 0.354 0
0.27 0.194 0.534 0.002
0.202 0.014 0.784 0
0.556 0.064 0.236 0.144
0.374 0.3 0.278 0.048
0.458 0.188 0.342 0.012
0.286 0 0.714 0
0.486 0.138 0.316 0.06
0.65 0.196 0.152 0.002
0.432 0.258 0.25 0.06
0.134 0.228 0.23 0.408
0.24 0.602 0.154 0.004
0.12 0.206 0.12 0.554
0.492 0.024 0.484 0
0.34 0.044 0.616 0
0.312 0.228 0.46 0
0.168 0.5 0.094 0.238
0.2 0.688 0.07 0.042
0.094 0.604 0.186 0.116
0.31 0.224 0.14 0.326
0 0 0.356 0.644
0 0 0.062 0.938
0 0 0.548 0.452
0 0 0.488 0.512
0 0 0.83 0.17
0 0 0.488 0.512
0 0 0.83 0.17
0 0 0.062 0.938
0 0 0.548 0.452
0 0 0.514 0.486
0 0 0.516 0.484
0 0 0.062 0.938
0 0 0.548 0.452
0 0 0.062 0.938
0 0 0.548 0.452
0 0 0.518 0.482
0 0 0.65 0.35
0.216 0.056 0.718 0.01
0.19 0.082 0.668 0.06
0.216 0.056 0.718 0.01
0 0 0.488 0.512
0 0 0.83 0.17
0.054 0.15 0.174 0.622
0 0 0.77 0.23
0 0.01 0.99 0
0 0.01 0.99 0
0 0.01 0.99 0
0.026 0.028 0.874 0.072
0 0.01 0.99 0
0.222 0.098 0.482 0.198
0.406 0.144 0.316 0.134
0 0.132 0.332 0.536
0 0.014 0.064 0.922
0 0 0.862 0.138
0 0 0.498 0.502
0.376 0.27 0.236 0.118
0 0 0.53 0.47
0 0 0.444 0.556
0 0 0.256 0.744
0 0 0.298 0.702
0 0 0.154 0.846
0.002 0.042 0.384 0.572
0 0 0.35 0.65
0 0 0.312 0.688
0 0 0.576 0.424
0.208 0.044 0.576 0.172
0.016 0.162 0.572 0.25
0.376 0.27 0.236 0.118
0 0 0.588 0.412
0 0 0.444 0.556
0.218 0.116 0.294 0.372
0.558 0.218 0.108 0.116
0.536 0.162 0.142 0.16
0 0 0.364 0.636
0.002 0.06 0.172 0.766
0 0 0.316 0.684
0 0 0.762 0.238
0 0 0.42 0.58
0 0.006 0.248 0.746
0 0 0.42 0.58
0 0.006 0.248 0.746
0.086 0 0.79 0.124
0.398 0.012 0.556 0.034
0.112 0.034 0.27 0.584
0 0.006 0.114 0.88
0 0.002 0.486 0.512
0.252 0.024 0.722 0.002
0.398 0.012 0.556 0.034
0.016 0.03 0.904 0.05
0.102 0.082 0.742 0.074
0.086 0 0.79 0.124
0.086 0 0.79 0.124
0.02 0.052 0.838 0.09
0 0 0.436 0.564
0 0 0.606 0.394
0 0.508 0.26 0.232
0 0 0.37 0.63
0.136 0.044 0.816 0.004
0.052 0.172 0.598 0.178
0.02 0.004 0.43 0.546
0.05 0.166 0.36 0.424
0.146 0.39 0.304 0.16
0.146 0.39 0.304 0.16
0.072 0.266 0.254 0.408
0.072 0.266 0.254 0.408
0.072 0.266 0.254 0.408
0 0.01 0.052 0.938
0 0.01 0.052 0.938
0.146 0.39 0.304 0.16
0.146 0.39 0.304 0.16
0.052 0.172 0.598 0.178
0 0.01 0.052 0.938
0 0 0.312 0.688
0.03 0.328 0.228 0.414
0.006 0 0.664 0.33
0 0 0.45 0.55
0.292 0.048 0.582 0.078
0.308 0 0.592 0.1
0 0 0.706 0.294
0.06 0.164 0.678 0.098
0.008 0.022 0.498 0.472
0 0 0.386 0.614
0 0 0.314 0.686
0 0 0.404 0.596
0 0 0.164 0.836
0 0 0.164 0.836
0 0 0.39 0.61
0 0.1 0.198 0.702
0 0 0.266 0.734
0 0 0.692 0.308
0 0 0.692 0.308
0 0 0.692 0.308
0 0 0.692 0.308
0 0.008 0.542 0.45
0.05 0.088 0.35 0.512
0 0.008 0.542 0.45
0.05 0.088 0.35 0.512
0 0 0.808 0.192
0 0.026 0.248 0.726
0 0 0.808 0.192
0 0.026 0.248 0.726
0 0.008 0.542 0.45
0.05 0.088 0.35 0.512
0.004 0.002 0.636 0.358
0 0 0.36 0.64
0 0 0.714 0.286
0 0 0.714 0.286
0.36 0.152 0.488 0
0.58 0.218 0.108 0.094
0.466 0.224 0.308 0.002
0.338 0.234 0.422 0.006
0.604 0.348 0.042 0.006
0 0 0.556 0.444
0.126 0.532 0.238 0.104
0.348 0.394 0.254 0.004
0.242 0.518 0.228 0.012
0.274 0.25 0.124 0.352
0.044 0.302 0.292 0.362
0.02 0.376 0.174 0.43
0.288 0.276 0.196 0.24
0.016 0.238 0.092 0.654
